populationId,TN,ADAP_E,PD1P_E,MDAP_E,y,EM-FL,FL-SH,FL-SD,generationId,IP
23,1,,0.19047619047619,0.152777777777778,-6.64372,0.97,1.293,0.848,10,FALSE
23,2,,0.0833333333333333,0.0487804878048781,-6.64372,0.97,1.293,0.848,10,FALSE
23,3,,-0.0181818181818182,-0.0444444444444444,-6.64372,0.97,1.293,0.848,10,FALSE
23,4,,0,0.024390243902439,-6.64372,0.97,1.293,0.848,10,FALSE
23,5,,-0.0925925925925926,-0.1,-6.64372,0.97,1.293,0.848,10,FALSE
23,6,,-0.253731343283582,-0.10989010989011,-6.64372,0.97,1.293,0.848,10,FALSE
23,7,,0.0930232558139535,-0.0379746835443038,-6.64372,0.97,1.293,0.848,10,FALSE
23,8,,-0.0588235294117647,-0.0119047619047619,-6.64372,0.97,1.293,0.848,10,FALSE
23,9,,-0.107142857142857,0.0116279069767442,-6.64372,0.97,1.293,0.848,10,FALSE
24,1,,0.19047619047619,0.152777777777778,-6.810039,0.97,1.157,0.848,10,FALSE
24,2,,0.0625,0.0487804878048781,-6.810039,0.97,1.157,0.848,10,FALSE
24,3,,-0.0181818181818182,-0.0444444444444444,-6.810039,0.97,1.157,0.848,10,FALSE
24,4,,-0.0185185185185185,0.024390243902439,-6.810039,0.97,1.157,0.848,10,FALSE
24,5,,-0.111111111111111,-0.1,-6.810039,0.97,1.157,0.848,10,FALSE
24,6,,-0.26865671641791,-0.10989010989011,-6.810039,0.97,1.157,0.848,10,FALSE
24,7,,0.0930232558139535,-0.0379746835443038,-6.810039,0.97,1.157,0.848,10,FALSE
24,8,,-0.0784313725490196,-0.0119047619047619,-6.810039,0.97,1.157,0.848,10,FALSE
24,9,,-0.107142857142857,0.0116279069767442,-6.810039,0.97,1.157,0.848,10,FALSE
25,1,,0.19047619047619,0.166666666666667,-6.670774,0.988,1.066,0.87,10,FALSE
25,2,,0.0833333333333333,0.0609756097560976,-6.670774,0.988,1.066,0.87,10,FALSE
25,3,,-0.0181818181818182,-0.0333333333333333,-6.670774,0.988,1.066,0.87,10,FALSE
25,4,,-0.0185185185185185,0.0365853658536585,-6.670774,0.988,1.066,0.87,10,FALSE
25,5,,-0.111111111111111,-0.0888888888888889,-6.670774,0.988,1.066,0.87,10,FALSE
25,6,,-0.253731343283582,-0.0879120879120879,-6.670774,0.988,1.066,0.87,10,FALSE
25,7,,0.0930232558139535,-0.0253164556962025,-6.670774,0.988,1.066,0.87,10,FALSE
25,8,,-0.0588235294117647,0,-6.670774,0.988,1.066,0.87,10,FALSE
25,9,,-0.107142857142857,0.0232558139534884,-6.670774,0.988,1.066,0.87,10,FALSE
26,1,,0.380952380952381,0.263888888888889,-10.677831,1.158,1.262,0.937,10,FALSE
